212:1:2867|14
240:1:3066|3
244:1:1699|6
301:1:2984|8,6284|4
433:1:419|5,713|4,508|3
596:1:4979|3
670:1:1150|3
718:1:719|4
756:1:2458|7
783:1:7571|7,588|5,7529|4
881:1:2411|5,616|4,451|3
897:1:2461|5
904:1:908|4
942:1:2847|3
1049:1:762|3
1114:1:3677|3
1119:1:982|3
1243:1:982|8,2461|4
1266:1:698|18,709|16,708|12,954|7,588|4,2030|3
1390:1:954|4,2177|3
1434:1:588|5,954|3,5840|3
1651:1:1650|29
1788:1:2177|9,1927|3
1890:1:2177|3
1956:1:1978|7,1926|4
1957:1:1926|5,1978|4
1958:1:1926|5,1946|4,2588|4,1978|4,2177|3
1995:1:2177|4
2005:1:2016|5,2007|5,2009|4
2456:1:2454|4,201|3
2463:1:785|3
2474:1:1105|4
2495:1:2494|5
2875:1:4415|3
3098:1:3096|10,3094|8,3106|4
3101:1:3096|9,3094|9,3106|3
3105:1:3106|3
3193:1:2954|7,954|6,3001|4,3024|3
3388:1:7361|5,6284|4
3417:1:2652|3
3493:1:6284|3
3494:1:1803|3
3502:1:3513|3
3844:1:4428|6
3846:1:3781|8
3872:1:954|3
4013:1:4238|10
4146:1:4159|11,3807|6,4157|5,3804|3
4178:1:4171|15,4185|8,4187|8
4208:1:4209|7
4223:1:4209|14,4225|5
4261:1:6284|3
4277:1:588|4,6284|4
4279:1:940|7
4375:1:4413|3
4376:1:2866|8
4392:1:4394|7,2871|3
4408:1:2877|7,2758|6,2879|3
4411:1:4379|3
4423:1:2871|3,2866|3
4431:1:4428|19
4477:1:4505|3
4491:1:4505|3
4496:1:4505|4
4499:1:4500|3
4728:1:4723|3
4788:1:4789|3
4807:1:4848|3
4808:1:4793|3
4816:1:4772|7
4847:1:4848|3
4920:1:6284|4,4907|3
4958:1:4955|3
5127:1:5132|6,5141|5
5224:1:5221|3
5298:1:2177|3
5319:1:8210|6,5324|4,2177|4,6284|3
5322:1:8210|3,2177|3
5550:1:5547|10,992|4,5548|3
5639:1:954|4,785|3
5732:1:5731|13,5729|9,5739|9,5735|9,5726|8,5734|8,5740|6
5935:1:5931|3
5942:1:5931|4,5937|3,5932|3,6284|3
5947:1:3818|3
5972:1:5971|24,5973|8,7058|3
5977:1:5980|14
5982:1:6023|9
5989:1:5987|3
5992:1:5987|4
6263:1:6284|4
6291:1:3391|7,3392|4,6736|4,6284|4
6474:1:11758|3,4268|3,6284|3
6491:1:6488|4,10004|3
6495:1:6488|4
6502:1:6504|3
6508:1:6504|5
6525:1:6284|4,7382|3
6533:1:6528|4
6566:1:6564|4,6562|4,6284|3
6573:1:6555|5
6622:1:2177|3,6628|3
6638:1:5361|6
6804:1:6815|6,6810|5
6822:1:6823|5,7775|4,6284|3
6834:1:7345|6,6284|5
6894:1:3619|3
6929:1:5304|8,6598|3
7118:1:6180|4
7243:1:7242|10
7263:1:7280|4,7294|4
7271:1:7284|5,7280|4,7272|4,6726|4,6284|3,7058|3
7398:1:7397|4
7399:1:7397|3
7440:1:7442|10,4278|4,3294|3
7445:1:7442|10
7452:1:7442|7
7467:1:7442|4
7469:1:7442|6
7481:1:7442|13
7482:1:7442|7
7484:1:7442|4
7572:1:6284|6,8370|4
7575:1:3671|3
7592:1:7598|3
7785:1:1835|9,8593|3,7775|3,3445|3,6284|3,7787|3
8091:1:8089|3
8376:1:8379|4,8380|3
8411:1:6488|4
8414:1:6488|3
8610:1:8598|7,8597|6,8613|5,8621|4
8615:1:8613|12,8621|11,8597|10,8598|8
8620:1:8613|11,8621|9,8597|6,8598|5,588|3
8623:1:8621|9,8598|5,8597|5,8613|3
8626:1:8621|10,8597|9,8613|7,8598|7
8627:1:8621|4,8613|4,8597|4,8598|3
8655:1:8664|3
8658:1:8656|3
8659:1:8664|3
8666:1:6284|3,8656|3
8694:1:8536|3
8697:1:954|3
8968:1:8972|7,8993|6
9105:1:9108|8,588|3,9857|3
9114:1:9108|3
9283:1:9285|4
9286:1:9285|11
9287:1:9285|4
9366:1:6284|4
9377:1:588|3
9404:1:3066|3
9423:1:2177|3
9465:1:5189|3
9467:1:5472|4,9387|3
9519:1:534|10,6284|3
9710:1:9721|4,869|3,9712|3,9709|3
9718:1:9539|3
9840:1:3818|3,954|3
9874:1:6284|3
9889:1:5628|3
9898:1:5514|9,5463|5
9907:1:3818|3
9910:1:9912|4,6111|4
9915:1:3598|7,9877|4,3445|3,9922|3
9934:1:6284|3
9939:1:3818|4
9947:1:9945|5
9954:1:6284|3
9965:1:2750|10
10007:1:10004|4
10243:1:10241|14,10862|3
10438:1:10436|5
10449:1:7088|3,10448|3
10453:1:10448|3
10884:1:10883|3,10882|3,10881|3
10981:1:10982|3,10984|3
11006:1:11008|6,6284|4
11007:1:6284|6,11008|5
11009:1:11008|3
11012:1:6284|3
11251:1:11257|4
11262:1:9387|3
11301:1:11297|4
11364:1:11362|33,11365|17,11372|6,11369|6,6284|5,11375|5,11371|5,11382|4,7058|3,11377|3
11366:1:11365|9,11362|9,11369|6,11371|5,11372|4,11375|3,6284|3
11368:1:11365|11,11369|10,11362|8,11371|7,11372|6,11375|4,11382|3,11377|3
11698:1:11723|7,11697|7
12073:1:12085|4,8503|3,12070|3,3391|3
12103:1:12101|3
12107:1:12106|6
12127:1:140|3
12365:1:6284|3
12436:1:12251|10
12768:1:12766|4,12780|3
12771:1:12777|4,12780|3
